frac_bits,total_differing,per_frame,pct_of_screen,diff_eq_1,diff_eq_1_per_frame,diff_ge_2,diff_ge_2_per_frame,ratio_per_bit,max_channel,mean_channel,isolated,isolated_pct
0,1691663,169166.3,8.1581,1541786,154178.6,149877,14987.7,,207,1.572,55132,3.26
1,525200,52520.0,2.5328,517063,51706.3,8137,813.7,18.419,207,1.065,115532,22.00
2,355655,35565.5,1.7152,352310,35231.0,3345,334.5,2.433,207,0.922,94517,26.58
3,271284,27128.4,1.3083,269707,26970.7,1577,157.7,2.121,204,0.805,66835,24.64
4,225096,22509.6,1.0855,224391,22439.1,705,70.5,2.237,204,0.703,41803,18.57
6,190402,19040.2,0.9182,190211,19021.1,191,19.1,1.921,204,0.620,16401,8.61
8,181012,18101.2,0.8729,180963,18096.3,49,4.9,1.974,145,0.587,8402,4.64
12,178839,17883.9,0.8625,178832,17883.2,7,0.7,1.627,110,0.579,5818,3.25
16,178135,17813.5,0.8591,178134,17813.4,1,0.1,1.627,60,0.576,5688,3.19
