frac_bits,total_differing,per_frame,pct_of_screen,diff_eq_1,diff_eq_1_per_frame,diff_ge_2,diff_ge_2_per_frame,ratio_per_bit,max_channel,mean_channel,isolated,isolated_pct
0,1604919,160491.9,7.7398,1547525,154752.5,57394,5739.4,,221,1.682,39175,2.44
1,1434291,143429.1,6.9169,1425780,142578.0,8511,851.1,6.744,222,0.839,46879,3.27
2,1412442,141244.2,6.8115,1408184,140818.4,4258,425.8,1.999,220,0.719,44689,3.16
3,1399311,139931.1,6.7482,1397117,139711.7,2194,219.4,1.941,220,0.648,41280,2.95
4,1393886,139388.6,6.7221,1393001,139300.1,885,88.5,2.479,218,0.603,39077,2.80
6,1388565,138856.5,6.6964,1388348,138834.8,217,21.7,2.019,210,0.580,34364,2.47
8,1388534,138853.4,6.6962,1388474,138847.4,60,6.0,1.902,164,0.574,34623,2.49
12,1390029,139002.9,6.7035,1390026,139002.6,3,0.3,2.115,91,0.572,33194,2.39
16,1386515,138651.5,6.6865,1386515,138651.5,0,0.0,,1,0.572,32946,2.38
