exponent,count
-23,3
-22,1
-21,12
-20,20
-19,50
-18,88
-17,166
-16,321
-15,636
-14,1235
-13,2632
-12,5200
-11,10183
-10,21305
-9,49454
-8,248529
-7,1233624
-6,2645614
-5,7986175
-4,5283820
-3,24194
zero,4
clamp_lo,0
clamp_hi,50037173
