exponent,count
-15,2
-14,14
-13,40
-12,120
-11,218
-10,444
-9,860
-8,1710
-7,3578
-6,7180
-5,13946
-4,28072
-3,56790
-2,113348
-1,227982
0,462808
1,937634
2,1828852
3,2574684
4,2561862
5,393436
6,2404
zero,16
clamp_lo,0
clamp_hi,0
