exponent,count
-28,1
-27,4
-26,13
-25,20
-24,48
-23,88
-22,167
-21,304
-20,641
-19,1201
-18,2426
-17,5031
-16,10129
-15,19972
-14,39592
-13,78447
-12,156223
-11,308225
-10,612975
-9,1210713
-8,2356219
-7,4488753
-6,8259710
-5,14645971
-4,25031554
-3,40939718
-2,64235144
-1,95119969
0,132492665
1,173976529
2,207071775
3,228158808
4,246171948
5,247389120
6,224552811
7,180560055
8,122331519
9,69190371
10,31524584
11,11747883
12,3407275
13,186646
zero,2
clamp_lo,0
clamp_hi,0
