exponent,count
-19,1
-15,2
-14,7
-13,11
-12,100
-11,380
-10,1261
-9,2885
-8,4467
-7,23970
-6,2086081
-5,8888658
-4,11321013
-3,3470
zero,0
clamp_lo,0
clamp_hi,59608666
