exponent,count
-10,2
-9,2
-8,7
-7,15
-6,29
-5,51
-4,101
-3,210
-2,377
-1,837
0,1820
1,3602
2,6982
3,14112
4,24931
5,53194
6,123071
7,1054947
8,8285056
9,17628038
10,3944776
zero,0
clamp_lo,0
clamp_hi,0
