exponent,count
-21,2
-20,4
-19,11
-18,21
-17,38
-16,84
-15,126
-14,240
-13,482
-12,1022
-11,2050
-10,4100
-9,9813
-8,49048
-7,243564
-6,522378
-5,1577522
-4,1043682
-3,4768
zero,0
clamp_lo,0
clamp_hi,9883820
