exponent,count
-24,2
-20,2
-19,2
-18,1
-17,13
-16,33
-15,47
-14,101
-13,223
-12,508
-11,961
-10,1767
-9,3685
-8,7263
-7,14522
-6,29150
-5,58294
-4,117316
-3,231814
-2,458670
-1,911423
0,1786400
1,3402834
2,6157280
3,10190440
4,14167826
5,14740657
6,13216435
7,9868478
8,9314774
9,12201098
10,14690616
11,15698876
12,13096805
13,10772523
14,4967876
15,395390
zero,0
clamp_lo,0
clamp_hi,0
