exponent,count
-24,33578
-23,33554
-22,26027
-21,19633
-20,19542
-19,29786
-18,56109
-17,105333
-16,208092
-15,441356
-14,917734
-13,1771626
-12,3470086
-11,5911097
-10,9193446
-9,10677173
-8,12411360
-7,16634194
-6,5229330
-5,758221
-4,344857
-3,27
zero,169640
clamp_lo,0
clamp_hi,19668740
