exponent,count
-22,2
-20,2
-18,13
-17,7
-16,31
-15,33
-14,82
-13,157
-12,333
-11,702
-10,1572
-9,3161
-8,6164
-7,12463
-6,24959
-5,49767
-4,99863
-3,201186
-2,400169
-1,799204
0,1590558
1,3147260
2,6145246
3,11685620
4,21241241
5,35673956
6,52725603
7,60998124
8,58895606
9,49250551
10,42104776
11,54435071
12,68255122
13,77552921
14,68735759
15,59744340
16,34462334
17,7182200
zero,0
clamp_lo,0
clamp_hi,0
