exponent,count
-22,2
-21,2
-20,4
-19,5
-18,18
-17,49
-16,80
-15,212
-14,344
-13,773
-12,1553
-11,3049
-10,5826
-9,11680
-8,24312
-7,47963
-6,95440
-5,190668
-4,380072
-3,763629
-2,1522041
-1,3033798
0,6033041
1,11897296
2,23124053
3,43672516
4,78695947
5,131713956
6,192572943
7,210373594
8,157410516
9,96110063
10,36114204
11,1371616
zero,0
clamp_lo,0
clamp_hi,0
