exponent,count
-29,1
-27,2
-26,5
-25,2
-24,12
-23,25
-22,57
-21,105
-20,206
-19,502
-18,1048
-17,2103
-16,3986
-15,7424
-14,16197
-13,33521
-12,53712
-11,94495
-10,156015
-9,234267
-8,307462
-7,419266
-6,619735
-5,919937
-4,1384548
-3,1921917
-2,2597252
-1,3308028
0,3654763
1,3262261
2,2364506
3,1575845
4,1158064
5,827154
6,550485
7,327210
8,164270
9,57818
10,15432
11,3621
12,1157
13,124
zero,20
clamp_lo,0
clamp_hi,0
