exponent,count
-27,2
-26,3
-25,3
-24,7
-23,24
-22,40
-21,89
-20,173
-19,349
-18,707
-17,1324
-16,2663
-15,5309
-14,10998
-13,22520
-12,43949
-11,86793
-10,173848
-9,351934
-8,699779
-7,1390589
-6,2749799
-5,5363194
-4,10204366
-3,18296456
-2,28145123
-1,22515446
zero,0
clamp_lo,0
clamp_hi,0
