exponent,count
-30,1
-29,1
-28,2
-27,3
-26,5
-25,15
-24,40
-23,75
-22,123
-21,228
-20,536
-19,1023
-18,2116
-17,4081
-16,8057
-15,15936
-14,32643
-13,64286
-12,128977
-11,259192
-10,515336
-9,1030056
-8,2053937
-7,4083138
-6,8068138
-5,15751176
-4,29950557
-3,53698878
-2,82622632
-1,66100435
zero,0
clamp_lo,0
clamp_hi,0
