exponent,count
-18,24
-17,16
-16,146
-15,2140
-14,13973
-13,32645
-12,63193
-11,124246
-10,249179
-9,492370
-8,979828
-7,1939548
-6,3476949
-5,6094251
-4,9595026
-3,14155649
-2,18050936
-1,20705776
0,23451163
1,25648174
2,17191288
3,10090025
4,3322210
5,539886
6,36045
7,12
zero,12662
clamp_lo,0
clamp_hi,0
