frac_bits,total_differing,per_frame,pct_of_screen,diff_eq_1,diff_eq_1_per_frame,diff_ge_2,diff_ge_2_per_frame,ratio_per_bit,max_channel,mean_channel,isolated,isolated_pct
0,467806,46780.6,11.4121,432823,43282.3,34983,3498.3,,221,2.517,905,0.19
1,421881,42188.1,10.2918,417825,41782.5,4056,405.6,8.625,221,1.232,2504,0.59
2,413014,41301.4,10.0755,411256,41125.6,1758,175.8,2.307,220,1.019,3038,0.74
3,407601,40760.1,9.9434,406819,40681.9,782,78.2,2.248,220,0.917,2788,0.68
4,405273,40527.3,9.8866,404882,40488.2,391,39.1,2.000,217,0.881,2121,0.52
6,402212,40221.2,9.8120,402086,40208.6,126,12.6,1.762,217,0.854,1047,0.26
8,402770,40277.0,9.8256,402735,40273.5,35,3.5,1.897,215,0.841,673,0.17
12,401913,40191.3,9.8047,401912,40191.2,1,0.1,2.432,106,0.838,484,0.12
16,401479,40147.9,9.7941,401477,40147.7,2,0.2,0.841,92,0.839,531,0.13
