frac_bits,frame,differing,pct,max_channel,isolated
0,0,36639,8.9381,212,70
0,1,39144,9.5492,212,72
0,2,40454,9.8688,214,49
0,3,43039,10.4994,214,61
0,4,46636,11.3769,216,81
0,5,49050,11.9657,221,72
0,6,51261,12.5051,220,78
0,7,53300,13.0025,218,93
0,8,53801,13.1248,218,154
0,9,54482,13.2909,217,175
1,0,35124,8.5685,114,113
1,1,37149,9.0625,212,154
1,2,38045,9.2811,213,109
1,3,39675,9.6787,209,150
1,4,41961,10.2364,216,252
1,5,44046,10.7450,209,279
1,6,45334,11.0592,221,281
1,7,46418,11.3237,218,346
1,8,47085,11.4864,217,391
1,9,47044,11.4764,217,429
2,0,34605,8.4419,113,140
2,1,36768,8.9696,211,167
2,2,37798,9.2208,213,120
2,3,39104,9.5394,214,213
2,4,41489,10.1212,189,243
2,5,43328,10.5699,185,312
2,6,44342,10.8172,214,376
2,7,45304,11.0519,220,410
2,8,45213,11.0297,217,510
2,9,45063,10.9931,220,547
3,0,34497,8.4155,108,106
3,1,36545,8.9152,151,139
3,2,37547,9.1596,208,105
3,3,38741,9.4509,176,187
3,4,40903,9.9783,141,260
3,5,42765,10.4325,216,284
3,6,43978,10.7284,207,326
3,7,44347,10.8185,208,411
3,8,44429,10.8385,217,451
3,9,43849,10.6970,220,519
4,0,34640,8.4504,102,91
4,1,36445,8.8908,127,114
4,2,37361,9.1142,111,107
4,3,38679,9.4357,211,134
4,4,40791,9.9510,136,182
4,5,42428,10.3503,153,236
4,6,43460,10.6021,201,252
4,7,44126,10.7645,208,271
4,8,43994,10.7323,217,380
4,9,43349,10.5750,216,354
6,0,34169,8.3355,113,44
6,1,36358,8.8695,128,73
6,2,37276,9.0935,107,56
6,3,38308,9.3452,176,86
6,4,40446,9.8668,109,116
6,5,42218,10.2991,212,98
6,6,43229,10.5457,108,123
6,7,43572,10.6294,119,133
6,8,43657,10.6501,128,161
6,9,42979,10.4847,217,157
8,0,34426,8.3982,94,46
8,1,36321,8.8605,47,67
8,2,37424,9.1296,101,43
8,3,38290,9.3408,176,55
8,4,40563,9.8953,91,74
8,5,42283,10.3149,162,60
8,6,43192,10.5367,87,74
8,7,43683,10.6565,109,70
8,8,43625,10.6423,92,94
8,9,42963,10.4808,215,90
12,0,34114,8.3221,1,38
12,1,36457,8.8937,1,55
12,2,37220,9.0798,1,28
12,3,38371,9.3606,106,39
12,4,40460,9.8702,1,58
12,5,42148,10.2820,1,54
12,6,43107,10.5160,1,49
12,7,43532,10.6196,1,65
12,8,43536,10.6206,1,46
12,9,42968,10.4820,1,52
16,0,34082,8.3143,1,46
16,1,36425,8.8859,1,63
16,2,37277,9.0937,92,41
16,3,38291,9.3411,92,43
16,4,40340,9.8409,1,67
16,5,42062,10.2610,1,41
16,6,43127,10.5208,1,50
16,7,43653,10.6492,1,63
16,8,43522,10.6172,1,61
16,9,42700,10.4167,1,56
