frac_bits,total_differing,per_frame,pct_of_screen,diff_eq_1,diff_eq_1_per_frame,diff_ge_2,diff_ge_2_per_frame,ratio_per_bit,max_channel,mean_channel,isolated,isolated_pct
0,743901,74390.1,8.0718,699007,69900.7,44894,4489.4,,221,2.157,16909,2.27
1,653047,65304.7,7.0860,646504,64650.4,6543,654.3,6.861,220,1.009,20335,3.11
2,640518,64051.8,6.9501,636965,63696.5,3553,355.3,1.842,222,0.833,20762,3.24
3,629622,62962.2,6.8318,628165,62816.5,1457,145.7,2.439,222,0.673,19448,3.09
4,624679,62467.9,6.7782,624027,62402.7,652,65.2,2.235,222,0.622,18112,2.90
6,622618,62261.8,6.7558,622463,62246.3,155,15.5,2.051,220,0.584,16316,2.62
8,620728,62072.8,6.7353,620696,62069.6,32,3.2,2.201,203,0.573,15704,2.53
12,621121,62112.1,6.7396,621119,62111.9,2,0.2,2.000,112,0.571,15689,2.53
16,620854,62085.4,6.7367,620854,62085.4,0,0.0,,1,0.571,15180,2.45
