frac_bits,frame,differing,pct,max_channel,isolated
0,0,46181,5.0110,212,2512
0,1,59890,6.4985,212,1519
0,2,64037,6.9485,214,1585
0,3,67222,7.2941,214,1610
0,4,73866,8.0150,216,1620
0,5,78855,8.5563,219,1531
0,6,83568,9.0677,212,1635
0,7,88445,9.5969,221,1601
0,8,89805,9.7445,219,1633
0,9,92032,9.9861,220,1663
1,0,43603,4.7312,111,2582
1,1,56835,6.1670,212,1622
1,2,59189,6.4224,214,1583
1,3,61268,6.6480,214,1697
1,4,65154,7.0697,199,1934
1,5,69355,7.5255,219,1990
1,6,72722,7.8908,220,2028
1,7,74370,8.0697,218,2102
1,8,75005,8.1386,218,2359
1,9,75546,8.1973,220,2438
2,0,44129,4.7883,112,2450
2,1,56290,6.1079,212,1519
2,2,58189,6.3139,210,1622
2,3,60174,6.5293,214,1847
2,4,64361,6.9836,199,1999
2,5,68045,7.3834,219,1977
2,6,70530,7.6530,218,2156
2,7,72699,7.8883,222,2287
2,8,72899,7.9100,217,2506
2,9,73202,7.9429,220,2399
3,0,42273,4.5869,111,2519
3,1,56203,6.0984,212,1508
3,2,57729,6.2640,212,1648
3,3,59338,6.4386,212,1781
3,4,63673,6.9090,168,1697
3,5,66934,7.2628,212,1945
3,6,69428,7.5334,210,2095
3,7,71081,7.7128,222,1944
3,8,71730,7.7832,217,2128
3,9,71233,7.7293,220,2183
4,0,41734,4.5284,112,2493
4,1,55741,6.0483,209,1542
4,2,57310,6.2185,211,1583
4,3,58935,6.3949,212,1669
4,4,63232,6.8611,177,1682
4,5,66596,7.2261,209,1709
4,6,69103,7.4982,206,1798
4,7,70640,7.6649,222,1853
4,8,70697,7.6711,216,1896
4,9,70691,7.6705,216,1887
6,0,42137,4.5722,111,2533
6,1,55884,6.0638,111,1436
6,2,57498,6.2389,154,1475
6,3,58992,6.4010,165,1550
6,4,62761,6.8100,178,1582
6,5,66486,7.2142,208,1587
6,6,68662,7.4503,218,1562
6,7,69877,7.5821,165,1537
6,8,70175,7.6145,217,1590
6,9,70146,7.6113,220,1464
8,0,41216,4.4722,112,2563
8,1,56040,6.0807,125,1444
8,2,57330,6.2207,11,1507
8,3,58838,6.3843,111,1489
8,4,62653,6.7983,96,1461
8,5,66091,7.1713,74,1537
8,6,68466,7.4290,203,1478
8,7,69958,7.5909,60,1416
8,8,70425,7.6416,110,1396
8,9,69711,7.5641,96,1413
12,0,42083,4.5663,1,2446
12,1,55618,6.0349,1,1435
12,2,57295,6.2169,1,1543
12,3,58755,6.3753,1,1490
12,4,62598,6.7923,1,1464
12,5,66097,7.1720,112,1536
12,6,68607,7.4443,74,1543
12,7,69834,7.5775,1,1473
12,8,70092,7.6055,1,1393
12,9,70142,7.6109,1,1366
16,0,41914,4.5480,1,2315
16,1,55417,6.0131,1,1426
16,2,57463,6.2351,1,1373
16,3,58624,6.3611,1,1543
16,4,62845,6.8191,1,1458
16,5,66138,7.1764,1,1490
16,6,68646,7.4486,1,1409
16,7,69877,7.5821,1,1413
16,8,69942,7.5892,1,1407
16,9,69988,7.5942,1,1346
